Rang,Nom,Fortune,Société,Secteur
199,Jacques Gad et Françoise Roblin ainsi que leur famille,450,COFIGAD,hôtellerie
199,Jean-François Gobertier,450,GDP VENDOME,immobilier
199,Jacqueline Himsworth-Braud et sa famille,450,MANITOU,industrie
199,Joseph Le Mer et sa famille,450,SERMETA,industrie
199,Eric Neubauer et Hervé Neubauer ainsi que leur famille,450,NEUBAUER,automobile
199,Jean-Noël Thorel,450,NAOS (BIODERMA ESTHEDERM),cosmétiques
199,Bertrand Voyer et familles fondatrices,450,GROUPE PREVOIR,assurances
208,Eric Hémar,430,ID LOGISTICS,transports
209,Mathieu Chabran et Antoine Flamarion,592,TIKEHAU CAPITAL,services financiers
209,Famille Chancereul,425,LDC,agroalimentaire
209,Michel Dancoisne et Pascal Imbert ainsi que leur famille,425,WAVESTONE,services
209,Sidonie Dumas et Famille Seydoux,425,GAUMONT,cinéma
209,Alexandre Elicha et Laurent et Raphaël Elicha,425,THE KOOPLES,habillement
209,Etienne Frechin et sa famille,425,VETOQUINOL,pharmacie
209,Pierre Gattaz et sa famille,425,RADIALL,industrie
209,François Guillin et sa famille,425,GUILLIN,industrie
209,Jean-Claude Maillard et sa famille,425,FIGEAC AERO,industrie
209,Jean-François Moueix et Jean Moueix ainsi que leur famille,425,VIDELOT,vins
219,Gérard Perse,410,CHATEAU PAVIE,vins
220,Remy Adrion et sa famille,400,FUTURA FINANCES (NOZ),distribution
220,Jean-Paul Berthomé et sa famille,400,EXPANSCIENCE,pharmacie
220,Nicole Bru-Magniez,400,FONDATION BRU,holding
220,Denis Dumont et sa famille,400,PROSOL GESTION,holding
220,Carol Duval-Leroy et sa famille,400,DUVAL-LEROY,vins
220,Jacques Essebag (dit Arthur),400,AWPG,médias
220,Familles Duval-Fleury et Corneau,400,COGEPA,holding
220,Guillaume Fonkenell,400,PHARO MANAGEMENT,services financiers
220,Michel Guerbet et sa famille,400,GUERBET,pharmacie
220,Hubert Guillard et sa famille,400,CHG PARTICIPATIONS,assurance
220,Albert Hadjez et sa famille,400,GROUPE HADJEZ,distribution
220,Jean-Claude Lavorel et sa famille,400,LAVOREL HOTELS,hôtellerie
220,Laure Louis-Dreyfus,400,LOUIS-DREYFUS COMPANY,holding
220,Rodolphe Marchais et sa famille,400,TAT GROUP,services
220,Patrick Pariente et Gérard Pariente,400,MAISONS PARIENTE,hôtellerie
220,Jean-Claude Pick et sa famille,400,COFINANCE,immobilier
220,Yvon (dit Franck) Provost et sa famille,400,PROVALLIANCE,services
220,Frédéric Sanchez,400,FIVES,industrie
220,Marc Simoncini,400,JAINA CAPITAL,holding
220,Patrick Thelot et sa famille,400,ARMONIA,services
220,Pierre-Anthony Verspieren et sa famille,400,ASSURANCES VERSPIEREN,assurances
241,Luc de Chammard,395,NEURONES,numérique
241,Bernard Charlès,395,DASSAULT SYSTEMES,numérique
241,Emmanuel Viellard et sa famille,395,LISI,industrie
244,Jean-Luc Petithuguenin et sa famille,390,PAPREC GROUPE,services
245,Jean Duforest et Jean-Luc Souflet ainsi que leur famille,380,IDKIDS,distribution
245,François Lazard et sa famille,380,LAZARD GROUP REAL ESTATE,immobilier
247,Pierre Bastid,370,HOUGOU,holding
247,David de Rothschild et Edouard de Rothschild ainsi que leur famille,370,ROTHSCHILD & CO,holding
247,Famille Simonet,370,VYGON,pharmacie
247,Aubert de Villaine et sa famille,370,ROMANEE CONTI,vins
251,Jean-Claude Le Lan et sa famille,365,ARGAN,immobilier
252,Louis Ballande et sa famille,360,GROUPE BALLANDE,holding
252,Jean-Louis Costes,360,SAINT HONORE,hôtellerie
252,Jean-Hubert Delon et Geneviève d’Alton ainsi que leur famille,360,CHATEAU LEOVILLE LAS CASES,vins
252,Robert Lascar,360,GROUPE OMNIUM,distribution
252,Familles Pol-Roger et de Billy,360,CHAMPAGNE POL-ROGER,vins
252,Olivier Sadran,360,NEWREST,services
258,Marie-Odile Amaury et sa famille,350,EDITIONS AMAURY,médias
258,Xavier Biotteau et Luc Biotteau ainsi que leur famille,350,ERAM,distribution
258,Alfred Cointreau et sa famille,350,REMY COINTREAU,vins
258,Lucien Deret et sa famille,350,DERET,transports
258,Jean-Bernard Falco et Céline Falco ainsi que leur famille,350,PARIS INN GROUP,hôtellerie
258,Bernard Hayot et sa famille,350,GBH,automobile
258,Aliza Jabès et sa famille,350,NUXE,cosmétiques
258,Lorène Martel et sa famille,350,CARAVELLE,holding
258,Marc Meyohas et Nathaniel Meyohas,350,GREYBULL CAPITAL,finance
258,Paul Raguin et sa famille,350,EOLANE,industrie
258,Jean-Luc Raymond et Charles Raymond,350,CIRCUIT GEORGES RAYMOND,cinéma
258,Philippe Rombi et sa famille,350,APHARMA,pharmacie
258,Roger Rosnoblet et sa famille,350,PROVENCIA,distribution
258,Philippe Veran et Bruno Thevenet,350,UPPERSIDE,holding
272,Alexandra Pereyre de Nonancourt et Stéphanie Meneux de Nonancourt ainsi que leur famille,345,LAURENT-PERRIER,vins
272,Henri Seydoux,345,PARROT,electronique
274,Denis Merlaut et Famille Villars,340,BERNARD TAILLAN FRANCE,vins
274,Michel-Henri Pinaire et sa famille,340,FSD,automobile
276,Famille Bollinger,330,SOCIETE JACQUES BOLLINGER,vins
276,Bruno Borie et Marie Borie ainsi que leur famille,330,JEAN EUGENE BORIE,vins
276,Philippe Chausson et Pierre-Georges Chausson ainsi que leur famille,330,CHAUSSON MATERIAUX,distribution
276,Pascal Pasquier et sa famille,330,BRIOCHE PASQUIER,agroalimentaire
276,Jean-Baptiste Pietri et sa famille,330,CONSTRUCTA,immobilier
276,Francis-Charles Pollet et Julien Pollet ainsi que leur famille,330,PROMOD,habillement
282,Patrick Ballu,325,EXEL INDUSTRIES,industrie
283,Philippe Bénacin,320,INTER PARFUMS,cosmétiques
283,Jean-Michel Cazes et Sylvie Cazes ainsi que leur famille,320,CHATEAU LYNCH BAGES,vins
283,Famille de Boüard de Laforest,320,CHATEAU ANGELUS,vins
283,Jean-Pierre Dréau,320,GROUPE SNEF,industrie
283,Gilles de Larouzière et Famille Henriot,320,MAISONS & DOMAINES HENRIOT,vins
283,Jean Louis Noisiez et sa famille,320,GROUPE GSF,services
289,Gaetan Grieco et sa famille,310,CHAUSSEA,habillement
289,Gilles Kohler et Jean-Philippe Kohler ainsi que leur famille,310,LISI,industrie
289,Christian Moueix et Edouard Moueix ainsi que leur famille,310,ETABLISSEMENTS JP MOUEIX,vins
292,Daniel Abittan et Jonathan Abittan,300,ACUITIS,distribution
292,Hervé Arditty,300,IXCORE,industrie
292,Jeanne Augier,300,NEGRESCO,hôtellerie
292,Catherine Barthélémy et sa famille,300,MANULOC,services
292,Laurent Batteur et sa famille,300,BATTEUR,cosmétiques
292,Philippe Castéja et sa famille,300,BORIE MANOUX,vins
292,Bruno Chambelland,300,CHRISTIAN LOUBOUTIN,luxe
292,Jean-Pierre Cointreau,155,RENAUD COINTREAU,vins
292,François Desprez et Bruno Desprez ainsi que leur famille,300,FLORIMOND DESPREZ,agroalimentaire
292,Michel Ducros et sa famille,300,EUCELIA,holding
292,Bernard Ducrot et sa famille,130,THEVENIN & DUCROT,distribution
292,Yves Forestier et Jean-Claude Forestier,300,PETIT FORESTIER,services
292,Roger-François Gagneraud et sa famille,300,GAGNERAUD,btp
292,Frédéric Grimaud et sa famille,300,GROUPE GRIMAUD,elevage
292,Marc Grosman et Laurent Grosman ainsi que leur famille,300,CELIO,habillement
292,Christophe Gruy et sa famille,300,MAIA,immobilier
292,Eric Kléboth et sa famille,300,BABOU,distribution
292,Famille Labruyère,300,GROUPE LABRUYERE,immobilier
292,Bruno Ledoux,300,COLBERT ORCO,immobilier
292,Gaston Rebilly et Thomas Rebilly ainsi que leur famille,300,GEOPETROL,energie
292,Famille Richard,300,CAFES RICHARD,distribution
292,Famille Richardson,300,RICHARDSON,distribution
292,Famille Rohault de Fleury,300,GROUPE ACCUEIL,holding
292,Monique Roosmale Nepveu,300,LOUIS-DREYFUS NEGOCE,services financiers
292,Nicolas Rousselet et sa famille,250,GROUPE ROUSSELET,holding
292,Eric Setton,300,TANGO,numérique
292,Christian Tafanel et Guy Tafanel ainsi que leur famille,300,TAFANEL,distribution
292,Alain Thiénot,300,ARVITIS,vins
320,Bernard Huvé et sa famille,295,SII,services
321,Christian Langlois-Meurinne et famille Meheut,280,IDI,finance
321,Famille Manoncourt,280,CHATEAU FIGEAC,vins
323,Lalou Bize-Leroy et sa fille,275,ROMANEE CONTI,vins
323,François Dutilleul et sa famille,275,RABOT DUTILLEUL,btp
323,Marcel Guigal et sa famille,275,GUIGAL,vins
323,Jean-Claude Labrune et sa famille,275,CEGEDIM,numérique
323,Alfred Tesseron et sa famille,275,CHATEAU PONTET-CANET,vins
328,Arnaud Gobet et Thierry Gobet,270,INNOTHERA,pharmacie
328,Eric Jacquet,270,JACQUET METAL SERVICE,industrie
328,André Liébot et sa famille,270,GROUPE LIEBOT,industrie
328,Famille Odin,270,SOPRA STERIA,numérique
328,Pierre Saubot et sa famille,270,HAULOTTE GROUP,industrie
333,Henri Brière et sa famille,265,FOSELEV,services
333,Patrick Combes,265,VIEL ET CIE,finance
333,Nicolas Dmitrieff et Familles Dmitrieff et Herlicq,265,CNIM,services
336,Serge Cachan et ses frères,260,ASTOTEL,hôtellerie
336,Paul Dubrule,128,ACCORHOTELS,hôtellerie
336,Patrice Kretz et familles Fauvet et Kretz,260,CHANTELLE FRANCE,habillement
336,Maurice Lévy,260,PUBLICIS,publicité
336,Paul-François Vranken et sa famille,260,VRANKEN POMMERY,vins
341,Sébastien Aguettant,250,DELPHARM,chimie
341,Armand Apavou et sa famille,250,GROUPE APAVOU,immobilier
341,Philippe Briand,250,GROUEP ARCHE (CITYA),services
341,Gilbert Costes et Thierry Costes,250,GROUPE BEAUMARLY,hôtellerie
341,Philippe Cuvelier,250,CLOS FOURTET,vins
341,Lucien Deveaux et sa famille,250,DEVEAUX,habillement
341,Laurent Dumas,250,EMERIGE,immobilier
341,Joseph Helfrich et Gunther Bimmerle,250,GRANDS CHAIS DE FRANCE,vins
341,Ludovic Le Moan et Christophe Fourtet,250,SIGFOX,numérique
341,Olivier Schiller et sa famille,250,SEPTODONT,pharmacie
341,Jean-Thomas Schmitt et sa famille,250,HEPPNER,transports
341,Bruno Schnepp,250,GROUPE CARSO,pharmacie
341,Alexandre-Jacques Vernazza et sa famille,250,MEDIACO LEVAGE,transports
354,Jacques d’Armand de Chateauvieux et sa famille,245,BOURBON CORP,services
354,Jacques Verlingue et sa famille,245,ADELAÏDE,assurances
356,Claude Cheton et sa famille,240,EMERA,maisons de retraite
356,Matthieu Courtecuisse,240,SIA PARTNERS,services
356,Didier Le Menestrel et Christian Gueugnier,240,WEBER INVESTISSEMENTS,finance
359,Claude Perdriel et sa famille,240,GROUPE PERDRIEL,industrie
360,Jean-Charles Boisset et Nathalie Berges-Boisset ainsi que leur famille,235,GRANDS VINS JC BOISSET,vins
361,Eric Bubendorff et sa famille,230,BUBENDORFF,industrie
361,Patrick Findeling et sa famille,230,PLASTIVALOIRE,automobile
361,Philippe Galland et sa famille,230,LE BELIER,automobile
361,Arnaud Lagardère et sa famille,230,LAGARDERE,médias
361,"Laurent Milchior et familles Milchior, Tarica, Lindemann",230,ETAM DEVELOPPEMENT,distribution
361,Olivier Monin et sa famille,230,GROUPE MONIN,agroalimentaire
361,Charles Robinet-Duffo et Rémy Robinet-Duffo ainsi que leur famille,230,GROUPE HENNER,assurances
361,Claude Thiriet et sa famille,230,MAISON THIRIET,distribution
361,Emmanuel Vasseneix et sa famille,230,LAITERIE DE ST-DENIS DE L’HÔTEL,agroalimentaire
361,Alain Vauthier et Catherine Vauthier ainsi que leur famille,230,CHATEAU AUSONE,vins
371,Franky Mulliez,225,KILOUTOU,services
371,Xavier Omerin et sa famille,225,OMERIN,industrie
373,Alexandre Allard,220,GROUPE ALLARD,immobilier
373,François-Xavier Borie et sa famille,220,CHATEAU GRAND PUY LACOSTE,vins
373,Christian Burrus et sa famille,420,DIOT,assurances
373,Jean-Paul Burrus et sa famille,200,SALPA,agroalimentaire
373,Yves Choueifaty,220,TOBAM,finance
373,Loïc Fery,220,CHENAVARI,finance
373,Michel Giboire et sa famille,220,GROUPE GIBOIRE,immobilier
373,David Gurlé,220,SYMPHONY,numérique
373,Famille Huttepain,220,LDC,agroalimentaire
373,Michel Picoty et sa famille,220,PICOTY,distribution
382,Daniel Cathiard et Florence Cathiard ainsi que leur famille,215,CHATEAU SMITH HAUT LAFITTE,vins
383,Jérôme Benoît et sa famille,210,DELTA PLUS GROUP,industrie
383,Philippe Catteau et Bertrand Catteau ainsi que leur famille,210,CATINVEST,immobilier
383,Jean Huyghues Despointes et sa famille,210,GROUPE SAFO,distribution
383,Gérard Leduc et sa famille,210,ETHYPHARM,pharmacie
383,Pierre Mattei et sa famille,210,CORSICA FERRIES,services
383,Didier Mennechet et Philippe Peculier ainsi que leur famille,210,SGMR LES OPALINES,maisons de retraite
383,Farouck Ravate et Adam Ravate ainsi que leur famille,210,GROUPE RAVATE,distribution
383,Isabelle Roch et et les héritiers de Charles Roch et de Henry-Frédéric Roch,210,ROMANEE CONTI,vins
383,Derek Remy Smith,210,TRESOR DU PATRIMOINE,distribution
392,Guy Bastide et sa famille,205,BASTIDE LE CONFORT MEDICAL,services
392,Famille Lurton,205,VIGNOBLES ANDRE LURTON,vins
392,Bruno Paillard,205,LANSON,vins
395,Gérard Autajon et sa famille,200,AUTAJON,industrie
395,Stéphane Bailly et sa famille,200,CAR AVENUE,automobile
395,Gilles Benhamou,200,ASTEELFLASH GROUP,electronique
395,Daniel Bour et sa famille,200,GENERALE DU SOLAIRE,energie
395,Pascal Bovis,200,GROUPE BOVIS,transports
395,Cyril Camus et sa famille,200,CAMUS,vins
395,Bruno Caron,200,NORAC,agroalimentaire
395,Francis Esmenard et sa famille,200,ALBIN MICHEL,distribution
395,Mathieu Flamini,200,GF BIOCHEMICALS,chimie
395,Laurent Gerbi et Arthur Gerbi ainsi que leur famille,200,GERARD DAREL - MERCI,habillement
